"station_english_name";"station_latitude";"station_longitude"
"Kirtipur Nagarpalika Bus Route Point";"27.682223811262475";"85.2725388854742"
"Chobhar Jala Binayak Bus Route Point";"27.658884112470037";"85.29143270105124"
"Chapali Bus Route Point";"27.7676526";"85.3557497"
"DeubaChok Bus Stop";"27.7748294";"85.361082"
"Golfutar Bus Route Point";"27.751038";"85.3457665"
"Hattigauda Budanilkantha";"27.7561271";"85.3489637"
"Tyanglaphat Bus Route Point";"27.6789748";"85.2787891"
"Satikhel Bus Route Point";"27.619975025813346";"85.2645831182599"
"Khahare Taudaha";"27.646682108410193";"85.27740642428398"
"Chalnakhel Bus Route Point";"27.6378868";"85.2795482"
"Hattiban Bus Route Point";"27.6479945";"85.3356922"
"Farping Bazaar Bus Route Point";"27.612998738578927";"85.26469342410564"
"Nakhhu Pul Bus Route Point";"27.6638623";"85.3063139"
"Mangal Bazaar Bus Route Point";"27.672597";"85.3249311"
"Gaabahal Bus Route Point";"27.67428";"85.320995"
"Byasi Bus Route Point";"27.6754047";"85.4299289"
"Saraswatinagar Bus Route Point";"27.6848962";"85.3569031"
"Pepsicola Bus Route Point";"27.68913601095144";"85.36030814051628"
"Sai Ram Chowk Bus Route Point";"27.6898934";"85.3630722"
"Purano Bipul Chowk Bus Route Point";"27.7163195";"85.3670633"
"Khahare Kadaghari";"27.6966002";"85.3662479"
"Kandhaghari Micro Bus Route Point";"27.695003110354023";"85.37089984863997"
"Kaandaaghari Chowk Bus Route Point";"27.6977592";"85.3714299"
"Birendra Chowk Bus Route Point";"27.6987756";"85.3737688"
"Mulpani Peepalbot Bus Route Point";"27.70648405473841";"85.39431251585484"
"Baba Chowk Mulpani";"27.7128242";"85.3935742"
"Milan Chowk Mulpani";"27.7156736";"85.3982198"
"Chautaaro Mulpani";"27.7162435";"85.3966749"
"Tiwari Toll Bus Route Point";"27.719001110790092";"85.39381094276905"
"Thali Bus Route Point";"27.7272035";"85.405333"
"Danchhi Bus Route Point";"27.727022716489696";"85.4147033393383"
"Kapan Saataley Chowk Bus Route Point";"27.7269755";"85.3504443"
"Narayan Chowk Bus Route Point";"27.728407472946106";"85.3517971560359"
"Pancha Kumari Bus Route Point";"27.7291408";"85.3534913"
"Milan Chowk Kapan";"27.7298625";"85.3550363"
"Tenzing Chowk Bus Route Point";"27.7287989";"85.3591776"
"Gairi Gaun Hallchowk";"27.722963";"85.2771503"
"Chabahil Bus Route Point";"27.71712146244321";"85.34657891839744"
"Shanti Goreto Bus Route Point";"27.71785991018637";"85.34794382750988"
"Annapurna Chok Bus Route Point";"27.7224953";"85.2927741"
"Gangahall Bus Route Point";"27.7323293";"85.3053685"
"Satsang Bus Route Point";"27.7359901";"85.3216186"
"Basundhara Chauki Bus Route Point";"27.7380578";"85.3250223"
"Chardobato Bode";"27.689932836356363";"85.39043739438057"
"Jayabageshwori Bus Route Point";"27.710406048002646";"85.34419711679219"
"Bode Planning Bus Route Point";"27.691992858392037";"85.39409793913364"
