"station_id","station_english_name","station_nepali_name","station_latitude","station_longitude"
"1091","Ascal Bus Route Point","अस्कल","27.7177964","85.3132099"
"1092","SukeDhara Bus Route Point","सुकेधारा ","27.7280748","85.345788"
"1093","Dhumbarahi Bus Stop","धुम्बाराही","27.7317357","85.3443718"
"1094","Gopikrishna Pul","गोपीकृष्ण पूल","27.721795740428096","85.34562673419713"
"1095","Airport Goldengate Bus Route Point","एयरपोर्ट गोल्डेन गेट","27.7008904","85.3534698"
"1096","Sinamangal Bus Route Point","सिनामंगल ","27.6952988","85.3550202"
"1097","Tilganga Bus Route Point","तिलगंगा","27.7061184","85.3496182"
"1098","3 No Cargo Gate","३ नं कार्गो गेट","27.6914134","85.3528905"
"1099","Thulo Bharyang Bus Route Point","ठुलो भर्यांग","27.7196912","85.286876"
"1100","Halchok Bus Route Point","हलचोक","27.7173215","85.2837163"
"1101","Sitapaila Bus Route Point","सिता पाइला","27.7076856","85.2824771"
"1102","Sano Bharyang Bus Route Point","सानो भर्यांग","27.7207715","85.2891934"
"1103","Bafal Bus Route Point","बाफल","27.7032212","85.2820051"
"1104","Kaushaltar Bus Route Point","कौसलटार","27.674521071155723","85.36420773714781"
"1105","Lokanthali Bus Route Point","लोकन्थली","27.6748084899393","85.3597344830632"
"1106","Gatthaghar Bus Route Point","गट्ठाघर","27.673964343571797","85.37325214594603"
"1107","Chardobato Bhaktapur","चारदोबाटो भक्तपुर","27.673525194852107","85.37984400987624"
"1108","Shrijananagar Bus Route Point","श्रीजना नगर","27.673004983942814","85.40393527597189"
"1109","Tribhuban Park Bus Route Point","त्रिभुवन पार्क","27.6903684","85.2216768"
"1110","Satangul Bus Route Point","सतुंगल","27.6868936","85.2512509"
"1111","Gurjudhara Bus Route Point","गुर्जुधारा","27.68777361604083","85.24216018617155"
"1112","Thankot Check Post","थानकोट चेक पोस्ट","27.6889908","85.2271217"
"1113","Nagdhunga Bus Route Point","नागढुंगा","27.6994928","85.2088505"
"1114","Sanepa Balakhu","सानेपा बल्खु","27.684324653222582","85.30166834592819"
"1115","Dhobighat Bus Route Point","धोविघाट","27.6747628","85.302015"
"1116","Nayabato Bus Route Point","नयाबाटो","27.6783501","85.302068"
"1117","Kirtipur Road","किर्तिपुर रोड","27.6761363","85.2937907"
"1118","TU Gate","टि यू गेट","27.67888838927917","85.29707238078117"
"1119","Panga Dobato Bus Route Point","पाँगा दोबाटो","27.674749996715082","85.28037797659636"
"1120","Kirtipur Nagarpalika Bus Route Point","किर्तिपुर नगरपालिका","27.682223811262475","85.2725388854742"
"1121","Chobhar Jala Binayak Bus Route Point","चोभार जलविनायक","27.658884112470037","85.29143270105124"
"1122","Chapali Bus Route Point","चपली","27.7676526","85.3557497"
"1123","DeubaChok Bus Stop","देउवा चोक","27.7748294","85.361082"
"1124","Golfutar Bus Route Point","गोल्फुटार","27.751038","85.3457665"
"1125","Hattigauda Budanilkantha","हात्तिगौडा बुढानिलकण्ठ","27.7561271","85.3489637"
"1127","Tyanglaphat Bus Route Point","त्यन्गलाफाट","27.6789748","85.2787891"
"1128","Satikhel Bus Route Point","सतीखेल","27.619975025813346","85.2645831182599"
"1129","Khahare Taudaha","खहरे टौदह","27.646682108410193","85.27740642428398"
"1130","Chalnakhel Bus Route Point","चाल्नाखेल","27.6378868","85.2795482"
"1131","Hattiban Bus Route Point","हात्तिबन","27.6479945","85.3356922"
"1132","Farping Bazaar Bus Route Point","फर्पिंग बजार","27.612998738578927","85.26469342410564"
"1134","Nakhhu Pul Bus Route Point","नक्खु पूल","27.6638623","85.3063139"
"1135","Mangal Bazaar Bus Route Point","मंगलबजार","27.672597","85.3249311"
"1136","Gaabahal Bus Route Point","गाबहाल","27.67428","85.320995"
"1138","Byasi Bus Route Point","ब्यासी","27.6754047","85.4299289"
"1139","Saraswatinagar Bus Route Point","सरस्वतीनगर","27.6848962","85.3569031"
"1140","Pepsicola Bus Route Point","पेप्सीकोला","27.68913601095144","85.36030814051628"
"1141","Sai Ram Chowk Bus Route Point","साइराम चोक","27.6898934","85.3630722"
"1142","Purano Bipul Chowk Bus Route Point","पुरानो बिपुल चोक","27.7163195","85.3670633"
"1143","Khahare Kadaghari","खहरे काँडाघारी","27.6966002","85.3662479"
"1144","Kandhaghari Micro Bus Route Point","काडाघारी माइक्रो पार्क","27.695003110354023","85.37089984863997"
"1145","Kaandaaghari Chowk Bus Route Point","काँडाघारी","27.6977592","85.3714299"
"1146","Birendra Chowk Bus Route Point","बिरेन्द्र चोक","27.6987756","85.3737688"
"1149","Mulpani Peepalbot Bus Route Point","मुलपानी पिपलबोट","27.70648405473841","85.39431251585484"
"1150","Baba Chowk Mulpani","बाबा चोक मुलपानी","27.7128242","85.3935742"
"1151","Milan Chowk Mulpani","मिलन चोक मुलपानी","27.7156736","85.3982198"
"1152","Chautaaro Mulpani","चौतारो मुलपानी","27.7162435","85.3966749"
"1153","Tiwari Toll Bus Route Point","तिवारी टोल","27.719001110790092","85.39381094276905"
"1154","Thali Bus Route Point","थली","27.7272035","85.405333"
"1155","Danchhi Bus Route Point","डाछि","27.727022716489696","85.4147033393383"
